oneThroughTwenty(20),,,,,,
arrayNum = [ ],i=1,index <= 20,i=1 && index <=20,arrayNum.push(index),i++," return"
[ ],1,true,true,1,1+1=2,
[1],2,true,true,2,2+1=3,
"[1,2]",3,true,true,3,3+1=4,
"[1,2,3]",4,true,true,4,4+1=5,
"[1,2,3,4]",5,true,true,5,5+1=6,
"[1,2,3,4,5]",6,true,true,6,6+1=7,
,,,,,,
-,-,-,-,-,-,"[1,2,3,4,5,6,7,8,9,10,11,12,13.14,15,16,17,18,19,20]"
,,,,,,
evensToTwenty(20),i=0,index < 20,index % 2 === 0,arrayNum.push(index),i++,return
arrayNum = [ ],,,,,,
[ ],0,"true ",false,-,0+1=1,
"[ ] ",1,"true ",false,-,1+1=2,
[ ],2,true,true,2,2+1=3,
[2],3,true,false,-,3+1=4,
[2],4,true,true,4,4+1=5,
"[2,4]",5,true,false,-,5+1=6,
,,,,,,
-,-,-,-,-,-,"[2,4,6,8,10,12,14,16,18,20]"
,,,,,,
oddsToTwenty(20),,,,,,
arrayNum = [ ],i=0,index < 20,index % 2 > 0,arrayNum.push(index),i++,return
[ ],0,true,false,-,0+1=1,
[ ],1,true,true,1,1+1=2,
[1],2,true,false,-,2+1=3,
[1],3,true,true,3,3+1=4,
"[1,3]",4,true,false,-,4+1=5,
"[1,3]",5,true,true,5,5+1=6,
,,,,,,
-,-,-,-,-,-,"[1,3,5,7,9,11,13,15,17,19]"
,,,,,,
multiplesOfFive(100),,,,,,
arrayNum = [ ],i=0,index < 100,index % 5 === 0,arrayNum.push(index),i++,return
[ ],0,true,true,0,0+1=1,
[0],1,true,false,-,1+1=2,
[ ],2,true,false,-,2+1=3,
[ ],3,true,false,-,3+1=4,
[ ],4,true,false,-,4+1=5,
[ ],5,true,true,5,5+1=6,
,,,,,,
-,-,-,-,-,-,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95]"
,,,,,,
squareNumbers(100),,,,,,
arrayNum = [ ],i=1,i*i  <= 100,i=1 && index <= 100,arrayNum.push(index),i+=1,return
[ ],0,true,true,1,0+1=1,
[1],1,true,false,-,1+1-1=1,
[1],2,true,false,-,2+0-1=1,
[1],3,true,true,4,3+0-2=1,
"[1,4]",4,true,false,-,4+0-3=1,
,,,,,,
-,-,-,-,-,-,"[1,4,9,16,25,36,49,64,81,100]"
,,,,,,
countingBackwards(20),,,,,,
arrayNum = [ ],i=20,index > 0,i=20 && index > 0,arrayNum.push(index),i--,return
"[ ] ",0,true,true,20,20-1=19,
[0],1,true,true,19,19-1=18,
"[0,1]",2,true,true,18,18-1=17,
"[0,1,2]",3,true,true,17,17-1=16,
"[0,1,2,3]",4,true,true,16,16-1=15,
,,,,,,
-,-,-,-,-,-,"[20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1]"
,,,,,,
evenNumberBackwards(20),,,,,,
arrayNum = [ ],i=20,index > 0,i=20 && index > 0,arrayNum.push(index),i-=2,return
[ ],0,true,true,20,20-18=2,
[0],1,true,false,-,19-17=2,
[0],2,true,true,18,18-16=2,
"[0,2]",3,true,false,-,17-15=2,
"[0,2]",4,true,true,16,16-14=2,
"[0,2,4]",5,true,false,-,15-13=2,
,,,,,,
-,-,-,-,-,-,"[20,18,16,14,12,10,8,6,4,2]"
,,,,,,
oddNumberBackwards(20),,,,,,
arrayNum = [ ],i=19,index > 0,i=19 && index > 0,arrayNum.push,i-=2,return
[ ],0,true,true,19,19-17=2,
[0],1,true,false,-,18-16=2,
[0],2,true,true,17,17-15=2,
"[0,2]",3,true,false,-,16-14=2,
"[0,2]",4,true,true,15,15-13=2,
,,,,,,
-,-,-,-,-,-,"[19,17,15,13,11,9,7,5,3,1]"
,,,,,,
mulltiplesOfFiveBackwards(100),,,,,,
"arrayNum = [ ] ",i=100,index > 0,i=100 && index > 0,arrayNum.push(index),i-=5,return
[ ],0,true,true,100,100-95=5,
[0],1,true,false,-,99-94=5,
[0],2,true,false,-,98-93=5,
[0],3,true,false,-,97-92=5,
[0],4,true,false,-,96-91=5,
[0],5,true,true,95,95-90=5,
,,,,,,
-,-,-,-,-,-,"[100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5]"
,,,,,,
squareNumberBackwards(100),,,,,,
arrayNum = [ ],i=100,i*i,i*i && index <= 100,arrayNum.push(index),i-=1,return
[ ],0,true,true,100,100-99=1,
[0],1,true,false,"- ",99-98=1,
[0],2,true,false,-,98-97=1,
[0],3,true,false,-,97-96=1,
[0],4,true,false,-,96-95=1,
[0],5,true,false,-,95-94=1,
,,,,,,
-,-,-,-,-,-,"[100,81,64,49,36,25,16,9,4,1]"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
